index,_id,comment,rating_star,pred_label
1164,62a9f87c880a053247b77f91,Giao sản phẩm lỗi cho khách. Sao trước lúc giao không kiểm tra kĩ? Giờ lỗi có mỗi 1 cái khuy thì biết đổi trả ntn ?,2,negative
1165,62a9eaa2880a053247b6a439,"Đã nhận được hàng,coi bộ nhìn ngon lành,ốp lưng ok,để dán cái kính cường lực đã rùi đánh giá tiếp,3 cái kính cường lực mà ko có được một miếng lau kính nào,nản",3,neural
1166,62a9f51e880a053247b74add,Vchhub. Hbvagathscvb. Hệnnshsbsbjs bhjsbagabvvgsbbs bunbsyshensbbusn. Gyhebsvshhshhhhsbsbh vhhsbs shhsjnhshh dhsnsnwhhjjs hshwjwjjsj sýhajabba súhwh,3,neural
1167,62a9ed4a880a053247b6cfd4,Đóng gói cẩn thận chống shock tốt. Hàng có hộp đầy đủ lịch sự. Giao hàng ổn.,4,positive
1168,62aa9dd94816d066cef61fb6,"Chất lượng quần thấp, vải mỏng, mặc rất bí. Vừa mua về giặt xong đã tung cả gấu quần. Nói chung thất vọng, nhưng chắc tiền ít nên chất lượng cũng ít theo tương xứng. Khi mua nên cân nhắc kỹ lưỡng nha mọi người. Được cái giao hàng nhanh. Mình đánh giá 2 sao",2,negative
1169,62a9fff2babeb86400b27761,Gà k dính vào tường được . 😴😴😴😴,2,negative
1170,62a9fe036f6175cc2bb0c90f,Có cái túi là ko ưng lắm neva die thành die die là lỗi lắm luôn nha,3,neural
1171,62a9f4cb880a053247b74583,"Shop giao đôi tất xanh ko đúng yêu cầu, mình đặt con cừu shop giao mẫu này ko đúng. Hơi buồn nha",4,negative
1172,62a9f62a880a053247b75d23,"Đóng gói ổn, chất liệu ví mỏng, giao nhầm màu nón",4,negative
1173,62a9fa4b880a053247b79d2f,"Bánh ăn khá đầy bụng, ko biết tại sao, hơi ngọt nữa. ",3,negative
1174,62a9eb4c880a053247b6b186,"Cái 11 chưa kịp lắp nhưng cái 8+ chỗ cắm sạc có vấn đề lắp toàn tự bật ra mà không có bọc, để tơ hơ mình sợ ố ",4,negative
