_id,comment,rating_star,pred_label
62a9eca5880a053247b6c433,"Giao hàng không giống mẩu đặt. báo shop, shop nói chuyện vòng vo, tôi đặt dây đen+đốm vàng+12li, giao cho tôi dây đen+sọc vàng.
Shop này bán hàng bắt đầu linh tinh rồi, Ae mua hàng cẩn thận nhé, mua bán phải uy tính chứ, không có hàng phải báo cho người mua sao lại gửi hàng khác mẩu như vậy.",1,negative
62aa04a8babeb86400b28903,Đổ cả 2 hộp mà ko thấy thông tí nào. Có ít tóc ở ngay chỗ đỗ cũng ko thấy bị  phân hủy ji cả.  Sùi bọt tí rồi đóng cục. Hazzzzz.  Buôn bán kiểu này chắc chết quá.,1,negative
62aa9eb54816d066cef62498,"Shop buôn bán lừa đảo , hàng giao kém chất lượng và không cho đổi , nt ko trả lời. Bán hàng kém chất lượng và ko uy tín. Né shop này ra nha mn. Dòng thứ các đảng gì đâu ko à :)  ",1,negative
62aa9f9f4816d066cef62e5c,Shop đưa nhầm mẫu. Đặt iphone 11 pro mà đưa thành pro max,1,negative
62a9f6da880a053247b76547,Ko tem nhãn gì cả. Shop còn ns sp này đắt hơn cái mình đặt....,1,negative
62aa072ababeb86400b2903f,"Đặt hai tô mà giao có một tô, áo thì giao sai kích cỡ, làm ăn vớ vẩn có tiếng r nên mọi ng tránh xa shop này ra",1,negative
62a9ebf9880a053247b6b9d5,Giao hàng nhanh đóng gói sơ sài kg cẩn thận. Bên trong may kg sao ,1,negative
62aa02bdbabeb86400b27f5f,"Nhựa dỏm , có mùi , cọ mỏng yếu . Chất lượng sản phẩm kém , không nên mua !!!",1,negative
62a9f2b9880a053247b71e22,"Sp dở tệ, bung nắp ko xài đc ",1,negative
62a9f364880a053247b728c5,"Hàng quá tệ, không như mong đợi, mang vào mà bị rớt không hay biết.",1,negative
62a9eaa2880a053247b6a239,Giao mình k có sp nay....shop tl cho mình liền nha,1,negative
62a9faa4880a053247b7a179,"Bánh hư, Shop ko đổi hàng cho khách, bán hàng ko có tâm. KHÔNG NÊN MUA, MẤT TIỀN CÒN TỨC",1,negative
62a9efbd880a053247b6f0f0,"Bên bán hàng giao hàng sai. Bên shopee làm vớ vẩn. Vận chuyển lừa đảo khách hàng. Lừa đảo mặc dù biết sai mà không sửa.

Bên bán hàng giao hàng sai. Bên shopee làm vớ vẩn, vận chuyển lừa đảo khách hàng. Lừa đảo mặc dù biết sai mà không sửa.",1,negative
62aa02bdbabeb86400b27ef5,Cuộn túi đựng rác quá mỏng so với bình thường,1,negative
62a9fb48880a053247b7aace,Giao hàng thiếu đặt 2 sản phẩm giao 1 cái ,1,negative
62a9ebf9880a053247b6ba4f,"M cảm giác k có mùi dầu tràm mà toàn mùi hoá chất, ngửi rất khó chịu. ",1,negative
62aa9eb54816d066cef62503,"chưa nhận được sản phẩm, quá tệ
",1,negative
62aa9f9f4816d066cef62e54,Mình đặt 7 món mà shop chỉ giao 5 món. Mình có ib để trao đổi thì shop không phản hồi. Hi vọng shop xem lại.,1,negative
