index,_id,comment,rating_star,pred_label
2333,62a9f416880a053247b73614,Hfdfcggrrffssddcdddddddddsedddddeêdddfffffffffffffffffffffffwweefrr,2,negative
2334,62a9fea76f6175cc2bb0cef9,"Shop giao nhầm quần không lót lông. Thật sự không vui. Yêu cầu trả hàng thì shop khiếu nại. Để k mất công gửi đi gửi lại đành thoả thuận trả lại tiền cho mình bằng giá quần k lót lông. Nhưng k hài lòng vì mình cần quần lót lông ấm cho mùa đông. Mọi ng cẩn thận, nên kiểm tra kỹ.",2,negative
2335,62a9eaa2880a053247b6a2f8,"Với giá vầy nên kẹp cũng bình thường , shop tư vấn kiểu không muốn trả lời :))",2,negative
2336,62a9ebf9880a053247b6bab8,Không giao đúng mẫu. Nt không rep. Ví dụ như nếu hết mẫu. Shop có thể trả lời tn bảo hết mẫu. Mình vui vẻ nhận mẫu khác. Còn im im không trả lời tn khách. Thích gửi cái nào gửi. Không tôn trọng khách. Cá nhân mình là người bán hàng. Mình ít khi đánh giá tiêu cực cho shop nào lắm. Nhưng rất bức xúc,2,negative
2343,62aaa3914816d066cef63d2a,Mặt hàng Không như hình ảnh đâu nhé,2,negative
2351,62a9fea76f6175cc2bb0cf0f,Vải bo ko phù hợp với màu sắc quần áo.bo chất lượng quá tệ.luôn a,2,negative
2354,62a9f51e880a053247b74969,Đoi dép khá là to không nên mua bặowhebdjsndfveiowwhwb,2,negative
2355,62a9eaf9880a053247b6a968,Dây quá nhỏ không vừa dây iphone.,2,negative
2357,62a9ed4a880a053247b6ce23,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2,neural
2373,62aa9dd94816d066cef61fff,Đặt hồng đất giao nâu bò,2,negative
2378,62a9f51e880a053247b7497b,Không đáng tiền chút nào cả,2,negative
2393,62a9fe036f6175cc2bb0c858,Đặt màu nâu mà lại giao màu đen,2,negative
2395,62a9fb48880a053247b7ab33,Không sử dụng đc,2,negative
2399,62a9eaa2880a053247b6a325,Không đáng tiền,2,negative
2406,62a9f5d8880a053247b75622,Túi nhựa cứng có mùi rất khó chịu 😤 so với số tiền thì như vậy cũng ok r. Tiền nào của nấy mà 🤔,2,negative
2415,62aa01c7babeb86400b27d26,Phao cổ bị xì 😡,2,negative
2419,62a9fdd36f6175cc2bb0c6d5,"Ko tag, ko tuột, ko túi thơm. Balô dày dặn nhưng ko hài lòng với dịch vụ khách hàng của shop mặc dù thấy phản hồi nhiều là ko có tuột, mình đã note cho đừng quên của mình, kết quả là tuột ko có và cả tag, túi thơm. 2 sao cho shop thôi.",2,negative
2425,62a9f87c880a053247b77f15,"Đặt 4 loại nhưng chỉ giao 3 loại. Còn mẫu số 5 ko hề giao, cũng ko thấy nt báo sẽ xử lý ntn",2,negative
2431,62aa9dd94816d066cef62041,Shop giao thiếu đồ,2,negative
2433,62a9fdd36f6175cc2bb0c6dd,"Không hài lòng 
Ghi là chống nước nhưng không chống được nước",2,negative
2443,62a9efbd880a053247b6f19e,"Đóng gói xập xệ, sp thì bị bóc trc",2,negative
2447,62aa00e6babeb86400b279f8,Chữ thiếu 2 chữ cái,2,negative
2459,62a9f87c880a053247b77f86,Quần chưa được mặc đã rách 1 lỗ rồi thì mặc làm sao phí tiền,2,negative
2462,62aa9dd94816d066cef61fef,Siu đẹp  mn nên mua nha chất len mềm mịn y hình,2,negative
2466,62aa9dd94816d066cef61f85,"Sp ko đáng tiền 1 chút nào , chất liệu mặc rất khó chịu , vải rất thô và ráp",2,negative
2472,62a9eca5880a053247b6c46d,Tfzhfxutdtxigcyugagsbxibzsguusgsugsugsuvsuvzuusgusvusuvzu,2,negative
2473,62aa02bdbabeb86400b28147,"Chất lượng kém giấy bụi, nhái hãng HN.",2,negative
2474,62a9f51e880a053247b749eb,Miếng lót mềm nhưng lại k dính vào giày đc. Toàn bị trượt ra,2,negative
2498,62a9fea76f6175cc2bb0ceee,Đặt đôi tất cổ dài giao 1 đôi chẳng liên quan.,2,negative
2517,62a9fff2babeb86400b2778a,Sản phẩm bị gãy 1 chân. Đóng gói rất sơ sài..,2,negative
2518,62a9f0c5880a053247b701c6,Thẻ nhớ lỗi mà shop k có chính sách đổi trả  kém,2,negative
2522,62aa9f9f4816d066cef62f09,Đã dặn đi dặn lại shop lấy jum minh màu trắng. Shop ok roi. Note cũng trắng mà cuối cùng giao màu xám.,2,negative
2523,62a9f8d5880a053247b78733,"Chì quấn rất ẩu, méo mó.",2,negative
2526,62aa02bdbabeb86400b28095,giao hàng tương đối nhanh. mua 7 cái kính chắn giọt bắn mà bị vỡ 2 cái. đã nhắn tin cho shop bảo shop xử lí. shop nhắn lại bảo mua gì thêm shop sẽ gửi bù. mình ko mua gì thêm mà ko thấy shop trả lời. đành phải đánh giá 1 sao,2,negative
2528,62aa9dd94816d066cef62045,Ao kh giống mình nghĩ . Tuy vải dày dặn mà như áo nà già !!! Buồn ghê 😢😢,2,negative
2536,62a9f2b9880a053247b71ea0,Biết là tiền nào của nấy nhưng bỏ tiền ra mà shop giao cho cái đồng hồ không chạy được như này thì ai chịu nổi,2,negative
2541,62a9f99b880a053247b79270,Quần ngắn và mỏng,2,negative
2545,62a9ebf9880a053247b6ba9c,"Chất không bằng loại 400g gập 4 mua của shop khác, vì cần gấp nên mua ở HN có nowship :(",2,negative
2546,62a9eca5880a053247b6c486,Đặt màu xám mà giao màu xanh dương với đen. Shop cũng ko nhắn tin hỏi lại người mua luôn. Làm ăn kỳ cục quá.,2,negative
2554,62a9efbd880a053247b6f18b,Sp chất lượng kém k phải hàng chuẩn loại 1 m đang dùng.,2,negative
2555,62a9fa4b880a053247b79c98,Đóng gói sản phẩm kém,2,negative
2556,62a9f476880a053247b73c94,Sản phẩm mùi cao su khá khó chịu,2,negative
2563,62a9f4cb880a053247b742f2,Giao nhầm size nhưng đổi lại để khách trả ship 2 lượt 70k tính ra mua đôi dép đắt,2,negative
2573,62aa9f9f4816d066cef62f19,Sạc vào pin rất lâu. Nếu mà vừa dùng vừa sạc pin còn không vào và bị thụt pin,2,negative
2574,62a9f87c880a053247b77eab,Hàng cực tệ có đôi bị mốc và Sai màu,2,negative
2580,62aa0651babeb86400b28f3d,"Giao xx hỏng 😌 . Đặt sáng hôm qua sáng nay giao r mà mấy cái xx đèu hỏng :)) . Giao thiếu 1c chốt nhựa . Lúc rep tn thì rep lâu có khi k thèm rep ( đây mk dùng nick khác chứ nick thật là phuonganh05655 cơ vì nick đó hêt mã fship lên p vào nick này ) . Lm ăn như lồn ý 🙂, xx giao thì quăn dính djt l",2,negative
2582,62a9fea76f6175cc2bb0cee8,"Hàng đóng gói túi zip đẹp. Giao hàng khá nhanh thôi. Tất đẹp, khá dày dặn. Cún nhà m 17 tháng lẽ ra sz to hơn. Nhưng thấy có cmt tất to nên đã chọn sz bé rồi. Nhưng vẫn rộng, đeo tụt tất liên tục. Gửi shop 2 sao để lần sau đăng bán sz chuẩn cho KH. ",2,negative
2595,62aa0576babeb86400b28dc0,"Đóng gói hàng bị rách, ko ưng ý.",2,negative
2596,62a9f364880a053247b72944,"Giao hàng nhanh, cứ nghĩ màu xám như này, ai dè, chả tin đc ạ, dây đeo k chắc",2,negative
2606,62aa9eb54816d066cef626dd,"Hàng hết nên shop có alo để đổi màu. Tuy nhiên mình mua loại dài mà giao loại lửng.Vải thì ok mà giao k đúng như hỗ trợ và ko tư vấn chính xác. Lúc nhận k đc xem trc hàng dẫn đến tình trạng khi hàng sai, muốn đổi trả thì phải tự gói đem ra đúng viettel pos nhưng do ko có tgian nên mình nhận luôn.",2,negative
2615,62a9f8d5880a053247b78706,"Nhận hàng vỡ tan tành khói lửa, quá tệ,",2,negative
2618,62a9fcab880a053247b7bf08,"Giao hàng nhanh. Đóng gói không cẩn thận méo mó hết quyển sổ , màu của bìa đúng như trên mẫu bên trg giấy chấm rất mờ có cái còn bị mất
",2,negative
2620,62a9f5d8880a053247b7563b,Không giống hình. To hơn so với hình. Vả bị nhăn nữa.......,2,negative
2621,62a9f416880a053247b73653,"shop giao lâu nhưng mình cũng thông cảm cho shop. có bill tặng dây. miếng lót giày thì bên có bên không, bên có thì mờ câm. hình thêu kh đều nchung chắc kh ủng hộ nữa. 6/10. inb nói shop về vấn đề bị thiếu lót giày shop kh rep",2,negative
2624,62a9fba5880a053247b7b085,"Chất lượng sản phẩm tốt, màu sắc nhìn thực tế không được tươi như trên ảnh",2,negative
2635,62a9f87c880a053247b77eb1,Đeo được vài ngày đã rỉ rồi giao hàng lại chậm nữa,2,negative
